City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,viqueque,-8.8673,126.3658,294.93,91,43,0.71,TL,1691611489
83,rabo de peixe,37.8,-25.5833,295.88,94,75,3.09,PT,1691611490
84,badger,64.8,-147.5333,293.99,86,75,0.45,US,1691611386
85,bredasdorp,-34.5322,20.0403,284.17,93,0,2.03,ZA,1691611490
86,charters towers,-20.1,146.2667,285.98,90,16,3.55,AU,1691611491
87,holualoa,19.6228,-155.9522,301.36,73,20,5.14,US,1691611491
88,beloyarskiy,63.7119,66.6722,283.41,82,15,2.25,RU,1691611492
89,homestead meadows north,31.8496,-106.1729,309.86,18,20,8.23,US,1691611492
90,west wodonga,-36.1257,146.8486,282.62,100,95,1.75,AU,1691611492
91,fale old settlement,-9.3852,-171.2468,301.53,78,11,6.68,TK,1691611493
92,itoman,26.1247,127.6694,300.16,100,52,3.09,JP,1691611493
93,georgetown,5.4112,100.3354,300.11,95,40,2.57,MY,1691611332
94,whitehorse,60.7161,-135.0538,292.65,46,40,3.6,CA,1691611475
95,sosnovo,60.5514,30.2144,289.65,76,100,0.72,RU,1691611494
96,thompson,55.7435,-97.8558,291.24,52,75,5.14,CA,1691611245
97,severo-yeniseyskiy,60.3725,93.0408,282.31,93,5,2.14,RU,1691611495
98,jayapura,-2.5333,140.7,296.81,93,81,2.22,ID,1691611495
99,haiku-pauwela,20.9219,-156.3051,300.16,66,40,8.23,US,1691611495
100,santiago,-33.4569,-70.6483,290.7,65,100,1.54,CL,1691611250
101,post,33.1909,-101.3782,313.14,14,5,7.13,US,1691611496
102,selsey,50.735,-0.7898,291.47,89,0,2.28,GB,1691611496
103,la baneza,42.3003,-5.8977,304.04,25,6,4.04,ES,1691611497
104,kalmunai,7.4167,81.8167,299.9,81,100,3.03,LK,1691611497
105,port elizabeth,-33.918,25.5701,290.31,77,0,8.75,ZA,1691611497
106,ribeira grande,38.5167,-28.7,299.37,73,20,6.17,PT,1691611498
107,makarov,48.6333,142.8,287.61,96,100,3.54,RU,1691611498
108,aasiaat,68.7098,-52.8699,277.92,78,20,3.71,GL,1691611499
109,international falls,48.6011,-93.411,293.79,57,75,6.17,US,1691611207
110,kununurra,-15.7667,128.7333,289.14,77,17,0.0,AU,1691611499
111,albany,42.6001,-73.9662,301.93,51,69,1.79,US,1691610913
112,saint croix,17.7397,-64.7388,305.4,62,20,6.69,VI,1691611500
113,st. john's,47.5649,-52.7093,289.08,83,75,5.66,CA,1691611240
114,gadzhiyevo,69.2551,33.3362,292.57,73,0,1.91,RU,1691611501
115,codrington,-38.2667,141.9667,283.53,81,60,7.08,AU,1691611502
116,namsos,64.4662,11.4957,291.18,55,100,3.6,NO,1691611503
117,kalabo,-14.97,22.6814,291.36,30,1,2.74,ZM,1691611504
118,la malbaie,47.6575,-70.1559,293.45,94,100,1.52,CA,1691611239
119,semey,50.4111,80.2275,294.95,32,31,3.76,KZ,1691611506
120,krasnovishersk,60.4078,57.082,286.14,70,21,1.7,RU,1691611507
121,port shepstone,-30.7414,30.455,291.33,77,100,3.5,ZA,1691611508
122,arawa,-6.2132,155.5367,298.04,93,92,2.04,PG,1691611509
123,nadym,65.5333,72.5167,281.54,77,0,8.29,RU,1691611510
124,burela de cabo,43.65,-7.4,292.51,87,24,0.89,ES,1691611511
125,chonchi,-42.6128,-73.8092,283.71,97,100,3.31,CL,1691611317
126,mar del plata,-38.0023,-57.5575,287.16,88,75,5.14,AR,1691611230
127,sitia,35.2,26.0986,299.81,67,0,9.41,GR,1691611513
128,leava,-14.3,-178.1667,300.32,76,28,3.55,WF,1691611513
129,polyarnyy,69.1989,33.4478,292.97,72,0,2.61,RU,1691611514
130,portland,45.5234,-122.6762,302.38,50,75,2.68,US,1691610707
131,kalemie,-5.9475,29.1947,295.54,55,10,0.88,CD,1691611514
132,mount isa,-20.7333,139.5,281.02,81,6,0.0,AU,1691611515
133,siem reap,13.5,104.0,299.01,95,61,1.47,KH,1691611515
134,gaiman,-43.2897,-65.4929,295.4,20,98,8.86,AR,1691611516
135,linden,6.0,-58.3,307.79,43,72,1.74,GY,1691611516
136,hadibu,12.65,54.0333,298.63,81,73,7.26,YE,1691611477
137,margaret river,-33.95,115.0667,283.67,77,100,1.4,AU,1691611517
138,howrah,22.5892,88.3103,302.15,89,100,3.6,IN,1691611517
139,galle,6.0367,80.217,299.61,86,100,3.02,LK,1691611258
140,crane,31.3974,-102.3501,312.97,16,0,2.37,US,1691611475
141,remire-montjoly,4.9167,-52.2667,304.17,66,0,5.14,GF,1691611518
142,lakatoro,-16.0999,167.4164,293.96,81,100,6.13,VU,1691611518
143,ta`u,-14.2336,-169.5144,300.22,75,7,4.63,AS,1691611519
144,ovruch,51.3246,28.8035,289.5,60,98,1.09,UA,1691611519
